zone_id,count,mean,std,variance,min,max,median,q25,q75,iqr,skewness,kurtosis,LocationID,Zone,Borough
1,232,1.7025862068965518,1.2317559497761426,1.5172227198089268,1,9,1.0,1.0,2.0,1.0,2.630516943722844,9.256077196675363,1,Newark Airport,EWR
2,2,1.0,0.0,0.0,1,1,1.0,1.0,1.0,0.0,,,2,Jamaica Bay,Queens
3,44,1.0227272727272727,0.15075567228888181,0.022727272727272728,1,2,1.0,1.0,1.0,0.0,6.6332495807108005,44.00000000000001,3,Allerton/Pelham Gardens,Bronx
4,576,6.505208333333333,10.75044867617768,115.57214673913043,1,70,3.0,2.0,6.0,4.0,3.6073223525394904,13.38815832905968,4,Alphabet City,Manhattan
5,53,1.0,0.0,0.0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,5,Arden Heights,Staten Island
6,32,1.0,0.0,0.0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,6,Arrochar/Fort Wadsworth,Staten Island
7,557,2.7073608617594256,1.6789534148346308,2.818884569184868,1,13,2.0,1.0,4.0,3.0,1.2528414503453253,2.800493298330604,7,Astoria,Queens
8,9,1.1111111111111112,0.33333333333333337,0.11111111111111112,1,2,1.0,1.0,1.0,0.0,2.9999999999999996,8.999999999999996,8,Astoria Park,Queens
9,36,1.0277777777777777,0.16666666666666663,0.02777777777777777,1,2,1.0,1.0,1.0,0.0,6.000000000000005,36.00000000000003,9,Auburndale,Queens
10,376,1.875,1.2078907235342111,1.459,1,7,1.5,1.0,2.0,1.0,1.8938199380037546,4.043283040980052,10,Baisley Park,Queens
11,36,1.1944444444444444,0.8558853209044321,0.7325396825396827,1,6,1.0,1.0,1.0,0.0,5.393494902939583,30.490556621226297,11,Bath Beach,Brooklyn
12,292,2.8904109589041096,2.6008808649823583,6.76458127383138,1,20,2.0,1.0,4.0,3.0,2.6568785040942906,10.743141470558768,12,Battery Park,Manhattan
13,596,25.610738255033556,19.477273603281564,379.36418701708874,1,80,26.0,6.0,40.0,34.0,0.4113530675573752,-0.7753585471240383,13,Battery Park City,Manhattan
14,190,1.2736842105263158,0.6496577082161125,0.42205513784461146,1,6,1.0,1.0,1.0,0.0,3.5222833045955597,17.29121093287113,14,Bay Ridge,Brooklyn
15,24,1.125,0.3378319623460881,0.11413043478260869,1,2,1.0,1.0,1.0,0.0,2.4218603014940343,4.2102659245516385,15,Bay Terrace/Fort Totten,Queens
16,41,1.0731707317073171,0.26365165488187486,0.06951219512195124,1,2,1.0,1.0,1.0,0.0,3.403869768380479,10.075999715888901,16,Bayside,Queens
17,241,1.3900414937759336,0.6749570961212468,0.455567081604426,1,4,1.0,1.0,2.0,1.0,1.7184277870165652,2.4048998556835155,17,Bedford,Brooklyn
18,90,1.1333333333333333,0.4022409138923946,0.16179775280898878,1,3,1.0,1.0,1.0,0.0,3.182925918484587,10.12924382716049,18,Bedford Park,Bronx
19,41,1.146341463414634,0.5273033097637496,0.2780487804878049,1,4,1.0,1.0,1.0,0.0,4.479415836171379,22.282841933301174,19,Bellerose,Queens
20,35,1.0,0.0,0.0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,20,Belmont,Bronx
21,65,1.0461538461538462,0.21145103088313016,0.04471153846153847,1,2,1.0,1.0,1.0,0.0,4.42895895374257,18.174190244949862,21,Bensonhurst East,Brooklyn
22,90,1.0555555555555556,0.27482828596514913,0.0755305867665418,1,3,1.0,1.0,1.0,0.0,5.460687241600783,32.04494613935746,22,Bensonhurst West,Brooklyn
23,80,1.0125,0.11180339887498947,0.012499999999999997,1,2,1.0,1.0,1.0,0.0,8.944271909999163,80.00000000000007,23,Bloomfield/Emerson Hill,Staten Island
24,617,12.711507293354943,7.8987760331447,62.39066282178113,1,35,13.0,5.0,19.0,14.0,0.12084936837663668,-0.9526911196072199,24,Bloomingdale,Manhattan
25,453,2.2141280353200883,1.384354407355143,1.9164371251636092,1,8,2.0,1.0,3.0,2.0,1.3754381230342356,2.179197641315817,25,Boerum Hill,Brooklyn
26,82,1.1585365853658536,0.4835443267467184,0.23381511592893714,1,3,1.0,1.0,1.0,0.0,3.096501135811616,8.691973331578392,26,Borough Park,Brooklyn
28,206,1.3155339805825244,0.6027995308968344,0.36336727444944356,1,4,1.0,1.0,2.0,1.0,2.159271938282325,5.1451207757995245,28,Briarwood/Jamaica Hills,Queens
29,70,1.1714285714285715,0.4495224058650928,0.20207039337474123,1,3,1.0,1.0,1.0,0.0,2.70618295943954,7.002561173101241,29,Brighton Beach,Brooklyn
30,3,1.3333333333333333,0.5773502691896257,0.3333333333333333,1,2,1.0,1.0,1.5,0.5,1.7320508075688785,,30,Broad Channel,Queens
31,13,1.3076923076923077,0.48038446141526137,0.23076923076923075,1,2,1.0,1.0,2.0,1.0,0.9462118179391509,-1.339393939393939,31,Bronx Park,Bronx
32,72,1.0555555555555556,0.2306688919537699,0.05320813771517997,1,2,1.0,1.0,1.0,0.0,3.9636281535047777,14.101424917793192,32,Bronxdale,Bronx
33,457,2.673960612691466,1.715780812543039,2.9439037966908512,1,11,2.0,1.0,4.0,3.0,1.448568588454784,2.9001953331862858,33,Brooklyn Heights,Brooklyn
34,42,1.0714285714285714,0.26066118021500656,0.06794425087108014,1,2,1.0,1.0,1.0,0.0,3.452758094848011,10.415779092702172,34,Brooklyn Navy Yard,Brooklyn
35,161,1.2608695652173914,0.5064797519451639,0.25652173913043474,1,3,1.0,1.0,1.0,0.0,1.8033010437129822,2.4517536839070484,35,Brownsville,Brooklyn
36,143,1.3356643356643356,0.821747159154355,0.6752683935782529,1,5,1.0,1.0,1.0,0.0,2.780573349111991,7.492858910098061,36,Bushwick North,Brooklyn
37,230,1.517391304347826,1.0052926202483545,1.0106132523258022,1,7,1.0,1.0,2.0,1.0,2.5665284863841706,7.598452296340571,37,Bushwick South,Brooklyn
38,113,1.0884955752212389,0.3150261362142889,0.0992414664981037,1,3,1.0,1.0,1.0,0.0,3.771065400422389,14.975138572087733,38,Cambria Heights,Queens
39,219,1.4703196347031964,0.8896888375382894,0.7915462276402327,1,8,1.0,1.0,2.0,1.0,3.2260396232134645,15.968352032638576,39,Canarsie,Brooklyn
40,236,1.521186440677966,0.7687903396691155,0.591038586368554,1,5,1.0,1.0,2.0,1.0,1.4585030974024251,1.876067464813521,40,Carroll Gardens,Brooklyn
41,630,11.003174603174603,6.757906945280542,45.66930628107099,1,33,11.0,5.0,16.0,11.0,0.498102240788555,-0.19756683171539713,41,Central Harlem,Manhattan
42,610,4.131147540983607,2.6908310522206573,7.2405717515949295,1,16,4.0,2.0,6.0,4.0,1.1617910987879216,1.7813742427263501,42,Central Harlem North,Manhattan
43,644,70.66614906832298,58.67173118728248,3442.372040512736,1,245,64.0,10.75,117.25,106.5,0.44179835462432737,-0.8831305490382109,43,Central Park,Manhattan
44,34,1.1764705882352942,0.7164977208318385,0.5133689839572192,1,5,1.0,1.0,1.0,0.0,4.975736925621561,26.31716579861111,44,Charleston/Tottenville,Staten Island
45,559,6.785330948121646,4.393755693343226,19.305089092786016,1,26,6.0,3.0,9.0,6.0,0.9985937614861865,1.518151179522771,45,Chinatown,Manhattan
46,4,1.0,0.0,0.0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,46,City Island,Bronx
47,83,1.0602409638554218,0.23937915584427608,0.05730238025271821,1,2,1.0,1.0,1.0,0.0,3.7648832235314447,12.474434947768273,47,Claremont/Bathgate,Bronx
48,672,118.33333333333333,61.04748015751116,3726.794833581719,14,334,114.0,80.75,146.25,65.5,0.7207279017726663,0.7981222107729966,48,Clinton East,Manhattan
49,293,1.5187713310580204,0.834091166626149,0.6957080742437702,1,5,1.0,1.0,2.0,1.0,1.8476432123732855,3.4369342669235015,49,Clinton Hill,Brooklyn
50,662,27.38368580060423,15.919072178100334,253.41685901156814,1,80,30.0,13.0,39.0,26.0,0.014100550409285893,-0.5684216598126306,50,Clinton West,Manhattan
51,140,1.4928571428571429,0.7538527285083922,0.5682939362795477,1,4,1.0,1.0,2.0,1.0,1.5578438293345258,1.9891722437454948,51,Co-Op City,Bronx
52,315,1.853968253968254,1.336983175559002,1.7875240117278333,1,8,1.0,1.0,2.0,1.0,2.0637753278383753,4.569227748178978,52,Cobble Hill,Brooklyn
53,53,1.0566037735849056,0.23329531793437605,0.05442670537010161,1,2,1.0,1.0,1.0,0.0,3.9502234147288355,14.1366588235294,53,College Point,Queens
54,44,1.1363636363636365,0.4086796147156642,0.16701902748414377,1,3,1.0,1.0,1.0,0.0,3.194692711861369,10.48794891821923,54,Columbia Street,Brooklyn
55,122,1.3278688524590163,0.6090586551951247,0.3709524454680938,1,4,1.0,1.0,2.0,1.0,1.9171234225585083,3.4898925058046935,55,Coney Island,Brooklyn
56,151,1.205298013245033,0.4942048265608364,0.2442384105960264,1,3,1.0,1.0,1.0,0.0,2.414097362488736,5.087182716014915,56,Corona,Queens
