PULocationID,mean,std,median,p25,p75,p95
1,1.9591558883594282,1.2762582960708861,2.0,1.0,2.0,4.0
2,1.0707070707070707,0.3274055480725374,1.0,1.0,1.0,1.0999999999999943
3,1.1742112482853224,0.47573253339723554,1.0,1.0,1.0,2.0
4,16.300276115968707,16.059463628428844,12.0,8.0,19.0,44.0
5,1.0319488817891374,0.20939864433741728,1.0,1.0,1.0,1.0
6,1.0928270042194093,0.3316484629792451,1.0,1.0,1.0,2.0
7,13.421948155761106,6.9975188251364395,12.0,9.0,17.0,26.0
8,1.111324376199616,0.37332575000983753,1.0,1.0,1.0,2.0
9,1.0936902485659656,0.3256474678854809,1.0,1.0,1.0,2.0
10,4.0515987374777,3.1977680349788185,3.0,2.0,5.0,10.0
11,1.1525885558583107,0.4516284903403401,1.0,1.0,1.0,2.0
12,5.947842884739215,5.5121402742728955,4.0,2.0,8.0,17.0
13,84.70823286255597,57.10407580106814,97.0,23.0,129.0,168.0
14,1.6601043643263758,0.9936846314980287,1.0,1.0,2.0,4.0
15,1.187150837988827,0.47430007446519995,1.0,1.0,1.0,2.0
16,1.2229607250755288,0.5312071833216616,1.0,1.0,1.0,2.0
17,2.250039240307644,1.566159372156522,2.0,1.0,3.0,5.0
18,1.2163934426229508,0.5103136380132561,1.0,1.0,1.0,2.0
19,1.2063492063492063,0.5747239465388265,1.0,1.0,1.0,2.0
20,1.1454248366013071,0.3879990169978605,1.0,1.0,1.0,2.0
21,1.3887113951011714,0.7848596213593577,1.0,1.0,2.0,3.0
22,1.3492326835338033,0.6829111715608019,1.0,1.0,2.0,3.0
23,1.0890151515151516,0.3283455389355494,1.0,1.0,1.0,2.0
24,28.580045871559633,17.427542814050746,29.0,14.0,40.0,59.0
25,8.254959159859977,5.585080845172457,7.0,4.0,11.0,19.0
26,1.5963712076145151,0.9692191786919064,1.0,1.0,2.0,3.0
27,1.1160714285714286,0.37357623326330874,1.0,1.0,1.0,2.0
28,1.975166142007695,1.240565134424161,2.0,1.0,2.0,4.0
29,1.3365676167374165,0.6536886435179056,1.0,1.0,2.0,3.0
30,1.0120481927710843,0.10976425998969036,1.0,1.0,1.0,1.0
31,1.1087420042643923,0.3564250253287354,1.0,1.0,1.0,2.0
32,1.278840579710145,0.5874152361023948,1.0,1.0,1.0,2.0
33,10.241272207727668,7.745384771592308,9.0,5.0,14.0,25.0
34,1.2522875816993464,0.6066003828735381,1.0,1.0,1.0,2.0
35,1.7608805668016194,1.187873442126571,1.0,1.0,2.0,4.0
36,2.0328853302831,2.0358077540350976,1.0,1.0,2.0,6.0
37,2.2626296989283894,1.9780395118538467,2.0,1.0,3.0,6.0
38,1.1723636363636363,0.4579476224172335,1.0,1.0,1.0,2.0
39,1.8674517664745678,1.2848531492564228,1.0,1.0,2.0,5.0
40,4.85723798108936,5.096732883289826,3.0,2.0,6.0,16.0
41,36.36530775379696,20.619611663752462,35.0,22.0,48.0,74.0
42,15.950870361887311,9.944433427820274,14.0,9.0,20.0,35.0
43,150.38129084030723,113.09248164476129,153.0,34.0,244.0,330.0
44,1.0589812332439679,0.3618293309014975,1.0,1.0,1.0,1.0
45,19.099084292087344,11.821975887013688,20.0,9.0,27.75,38.0
46,1.103846153846154,0.34144906880450926,1.0,1.0,1.0,2.0
47,1.240495137046861,0.5456476682864694,1.0,1.0,1.0,2.0
48,305.4124900102751,143.30511060004628,295.0,220.0,386.0,572.0
49,2.7322710307206433,1.9812359355580518,2.0,1.0,4.0,7.0
50,84.62011874857274,47.39488484673556,90.0,47.0,114.0,158.0
51,1.6225143242332323,1.0122673126798252,1.0,1.0,2.0,4.0
52,5.816393893549718,6.109656886381653,4.0,2.0,7.0,19.0
53,1.1051817478731631,0.36027088437868293,1.0,1.0,1.0,2.0
54,1.2748166259168705,0.6222996680275203,1.0,1.0,1.0,2.0
