PULocationID,mean,std,median,p25,p75,p95
1,1.9102011494252873,1.2362180980577855,1.0,1.0,2.0,4.0
2,1.0555555555555556,0.3333333333333333,1.0,1.0,1.0,1.0
3,1.177874186550976,0.4741452646211414,1.0,1.0,1.0,2.0
4,15.995215311004785,15.087255424503931,12.0,7.0,19.0,42.0
5,1.0517241379310345,0.2585857047801398,1.0,1.0,1.0,1.0
6,1.15625,0.4431496123741602,1.0,1.0,1.0,2.0
7,13.568766937669377,7.142971376958937,12.0,9.0,17.0,27.0
8,1.0941176470588236,0.3119461950340431,1.0,1.0,1.0,2.0
9,1.094850948509485,0.36742426312959536,1.0,1.0,1.0,2.0
10,3.975040257648953,3.1082271984762726,3.0,2.0,5.0,10.0
11,1.1606648199445984,0.5018893205877535,1.0,1.0,1.0,2.0
12,6.094106463878327,5.654389384835136,4.0,2.0,9.0,18.0
13,85.78471511429547,56.76096563852162,99.0,26.0,129.0,167.0
14,1.64,0.9439472732152134,1.0,1.0,2.0,4.0
15,1.1971014492753622,0.5017327575781388,1.0,1.0,1.0,2.0
16,1.2250453720508168,0.5153893036349035,1.0,1.0,1.0,2.0
17,2.2033978291647003,1.6046049666430235,2.0,1.0,3.0,5.0
18,1.231012658227848,0.5194660062927265,1.0,1.0,1.0,2.0
19,1.232608695652174,0.7141746757358086,1.0,1.0,1.0,2.0
20,1.1438679245283019,0.3773243383002168,1.0,1.0,1.0,2.0
21,1.3950617283950617,0.7851640153239352,1.0,1.0,2.0,3.0
22,1.350125944584383,0.6279181433201657,1.0,1.0,2.0,3.0
23,1.0569948186528497,0.2324356653241505,1.0,1.0,1.0,2.0
24,28.30273037542662,17.188951310904834,29.0,13.0,40.0,58.0
25,8.289219073946095,5.786049579129882,7.0,4.0,11.0,18.0
26,1.6212389380530974,1.013588048058123,1.0,1.0,2.0,4.0
27,1.146341463414634,0.4219582686567534,1.0,1.0,1.0,2.0
28,2.027235354573484,1.2953459357121024,2.0,1.0,3.0,5.0
29,1.3868852459016394,0.7479529611747459,1.0,1.0,2.0,3.0
30,1.037037037037037,0.19245008972987526,1.0,1.0,1.0,1.0
31,1.103896103896104,0.3267753154418289,1.0,1.0,1.0,2.0
32,1.2934609250398723,0.6166009964362462,1.0,1.0,1.0,3.0
33,10.071165191740413,7.682112502202351,9.0,5.0,13.0,25.0
34,1.2444889779559118,0.6649158908813533,1.0,1.0,1.0,2.0
35,1.7568940493468794,1.1910948645765496,1.0,1.0,2.0,4.0
36,1.988556338028169,2.1166117118341403,1.0,1.0,2.0,6.0
37,2.28049408131755,2.1620891799080235,2.0,1.0,3.0,6.0
38,1.1822033898305084,0.461536500787977,1.0,1.0,1.0,2.0
39,1.8936170212765957,1.2362531818272116,1.0,1.0,2.0,4.0
40,4.879404855129209,5.194111308181431,3.0,2.0,6.0,16.0
41,35.31029810298103,20.293807424157226,34.0,21.0,46.0,74.0
42,15.551888397414086,9.820596939126156,14.0,9.0,20.0,34.0
43,151.95129427792915,114.48219553899285,152.0,36.0,249.0,333.0
44,1.0236220472440944,0.15246997774393437,1.0,1.0,1.0,1.0
45,19.125954198473284,12.01698552924071,20.0,8.0,28.0,38.0
46,1.0736842105263158,0.30042895797608044,1.0,1.0,1.0,2.0
47,1.2454068241469816,0.5767152032015714,1.0,1.0,1.0,2.0
48,304.2991192411924,141.03835163130034,297.0,218.0,384.0,554.0
49,2.6738761662425783,1.991732037462396,2.0,1.0,3.0,6.0
50,84.41971544715447,46.20297245517861,91.0,48.0,114.0,155.44999999999982
51,1.6304957904583723,0.9910866039773651,1.0,1.0,2.0,4.0
52,5.759404712691195,6.0225648732166785,4.0,2.0,7.0,19.0
53,1.1294117647058823,0.42304587640173297,1.0,1.0,1.0,2.0
54,1.2976539589442815,0.6395853171212649,1.0,1.0,1.0,3.0
55,1.3776881720430108,0.7650417380180703,1.0,1.0,2.0,3.0
56,1.5625850340136054,0.8581258477871412,1.0,1.0,2.0,3.0
57,1.1333333333333333,0.5534494613840603,1.0,1.0,1.0,2.0
58,1.0266666666666666,0.1621921894121487,1.0,1.0,1.0,1.0
59,1.0377358490566038,0.27472112789737807,1.0,1.0,1.0,1.0
60,1.1936170212765957,0.5002789223384266,1.0,1.0,1.0,2.0
